mother,stepdaughter,category_for_map,,name,place,,country,address,Latitude,Longitude
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святої Трійці П'ятидесятниці,Корк,http://www.sourozh.org/,Ірландія,"Fr Matthew Quay, Cork",51.8954635,-8.4705585
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Введення в храм Пресвятої Богородиці,Дрогеда,http://www.sourozh.org/,Ірландія,"Peter's Hill, Drogheda, Co. Louth",53.7164568,-6.350891
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святих апостолів Петра і Павла,Дублін,http://www.sourozh.org/,Ірландія,"Mount Argus Rd, Dublin 6W",53.3235851,-6.281638099999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Миколая Чудотворця,Голвей,http://www.sourozh.org/,Ірландія,"Market Place, Galway",53.2898419,-9.0224697
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада Казанської ікони Божої Матері,Леттеркенні,http://www.sourozh.org/,Ірландія,"IOSAS Center, Derryvane, Muff, Co Donegal",55.0543574,-7.3285746
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Іоанна Богослова,Лімерик,http://www.sourozh.org/,Ірландія,"St. Michael’s Church, Denmark St., Limerick",52.6641575,-8.6248735
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальна громада Св. Атракти,Слайго,http://www.sourozh.org/,Ірландія,"St. Bernadettes Chapel, JF Kennedy parade, Sligo. Co. Sligo",54.2714377,-8.4696143
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Патріка Ірландського,Вотерфорд,http://www.sourozh.org/,Ірландія,"Saint Paul's Boxing Club (1st floor), Lisduggan,  Waterford, X91XW80",52.2496895,-7.1323319
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Храм на честь Архангела Михаїла,Алтея,http://orthodoxspain.com,Іспанія,"Calle Noraу, 1 Altea Alicante 03590",38.6305806,-0.0446062
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Кафедральний собор на честь святої рівноапостольної Марії Магдалини,Мадрид,http://orthodoxspain.com,Іспанія,"Gran Via de Hortaleza, 48 28043 Madrid",40.4669971,-3.6515315
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь Стрітення Господнього,Тенеріфе,http://orthodoxspain.com,Іспанія,"г. Callao Salvaje, ул. Avenida del Jable,1, Испания. о. Тенерифе, Канарские острова",28.1316268,-16.7772619
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь великомученика Георгія,Валенсія,http://orthodoxspain.com,Іспанія,"Spain, CNorte 6 46008 Valencia España",39.47503090000001,-0.3904552
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Храм Різдва Пресвятої Богородиці,Торревьєха,http://orthodoxspain.com,Іспанія,"03183 Torrevieja Urbanización Calas Blancas, calle Bruselas 4",37.9846095,-0.6674564
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь святого великомученика Георгія та святої мучениці Анастасії,Калонже,http://orthodoxspain.com,Іспанія,"Avenida Andorra, 21 (C-253), Calonge",41.8474119,3.1009288
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Храм Благовіщення Пресвятої Богородиці,Барселона,http://orthodoxspain.com,Іспанія,"Carrer de la Mare de Déu dels Reis,12",41.4131109,2.145474
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь Вознесіння Господнього,Марбелья,http://orthodoxspain.com,Іспанія,"calle Hermanos Alvarez Quintero, 4, 29670, San Pedro de Alcántara (Malaga)",36.4821322,-4.9898913
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь святителя Миколи Чудотворця,Севілья,http://orthodoxspain.com,Іспанія,"calle Madre María Teresa 60, Sevilla",37.3831459,-5.961786399999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Храм Різдва Христового,Пальма-де-Майорка,http://orthodoxspain.com,Іспанія,"Porta Pintada 9, Calle Sant Miquel esquina Calle Omos, 07001 Palma de Mallorca",39.5719813,2.6518994
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь святих мучеників Кирика та Іулітти,Льорет-де-Мар,http://orthodoxspain.com,Іспанія,"carrer de Pitàgores, 6, 17310, Lloret de Mar, Girona",41.7025243,2.8335723
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,"Храм на честь ікони Божої Матері ""Скоропослушниця""",Таррагона,http://orthodoxspain.com,Іспанія,"Raval de la Mar (antigua carretera de La Pineda), sin número, Vila-seca, Tarragona",41.1059437,1.1535085
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь преподобної Єгипетської Марії,Малага,http://orthodoxspain.com,Іспанія,"calle Obsidiana 6, Malaga",36.7102171,-4.456696099999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія преподобного Іова Почаєвського,Мурсія,http://orthodoxspain.com,Іспанія,"Murcia, av. Ciudad de Almeria, 91",37.9752428,-1.1410931
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь Покрови Божої Матері,Гранада,http://orthodoxspain.com,Іспанія,"Calle Pedro Machuca 21, Granada",37.2034445,-3.6067209
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь Іверської ікони Божої Матері,Аліканте,http://orthodoxspain.com,Іспанія,"Carrer Dr. Sapena, 39, 03013 Alacant, Alicante",38.3543155,-0.4765982
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Іспано-Португальська єпархія,Парафія на честь благовірного князя Олександра Невського,Сарагоса,http://orthodoxspain.com,Іспанія,"España, Comunidad Autónoma de Aragón, Zaragoza, Calle Ricardo del Arco, 29",41.6598939,-0.8781460999999999
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Парафія преп. Симеона новобогослова та св. Інокентія Московського,Аліканте,https://orthodox-europe.org,Іспанія,"Calle Tato, 6
03005 Alicante",38.34638899999999,-0.4959453999999999
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Місія влкм. Серафима та св. Вікентія,Елче,https://orthodox-europe.org,Іспанія,"Iglesia de San Serafim Sarovskiy y San Vicente Diacono y Martir
Calle Porta la Morera 18, 03203 Elx, Elche",38.2911575,-0.6322614999999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),,Патріарше подвор'є на честь святителя Миколи Чудотворця,Барі,https://bargrad.com/,Італія,"Corso Benedetto Croce, 130
70125 Bari, Italia",41.1099688,16.8723695
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Храм святої великомучениці Катерини,Рим,http://ortodossia.org/,Італія,"via del Lago Terrione 77/79, 00165 Roma",41.8950927,12.4540632
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Храм святителя та чудотворця Миколая,Рим,http://ortodossia.org/,Італія,"via Palestro 69/71, 00185 Roma",41.9040375,12.50521
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь Святителя Миколая Чудотворця,Алессандрія,http://ortodossia.org/,Італія,Via Solero (AL) — Via Ugo Ghisiglieri — chiesa San Michele,44.9188318,8.5109952
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь Почаївської ікони Божої Матері,Анкона,http://ortodossia.org/,Італія,"via Valleniano 70, Ancona",43.6158299,13.518915
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Володимирської ікони Божої Матері,Бергамо,http://ortodossia.org/,Італія,piazza Sant’Anna 1,38.1151024,13.3648335
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Василя Великого,Болонья,http://ortodossia.org/,Італія,"via Sant’Isaia, 35, 40123 Bologna",44.4940826,11.3321642
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Покрови Пресвятої Богородиці,Болонья,http://ortodossia.org/,Італія,"Via Saragozza,  2.  Cap 40135, Bologna",44.49021940000001,11.3373084
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Зіслання Святого Духа,Брешія,http://ortodossia.org/,Італія,"Chiesa Santi Cosma e Damiano, Via Cairoli 27, Brescia",45.53950529999999,10.2118238
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь святителя Миколи Чудотворця,Брешія,http://ortodossia.org/,Італія,"via San Faustino 36, Brescia",45.5420379,10.2196233
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь Благовіщення Пресвятої Богородиці,Б'єлла,http://ortodossia.org/,Італія,"via Mazzini 26/a , Biella
chiesa instituto Lasana",45.5635425,8.053171299999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь св. блгв. великого князя Олександра Невського,Варезе,http://ortodossia.org/,Італія,"via Milazzo 15, Varese",45.8146944,8.8132888
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святих Жен-мироносиць,Венеція,http://ortodossia.org/,Італія,"Sestiere Santa Croce, campo San Zan Degolà 1",45.4415226,12.3276874
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Миколи Чудотворця,Верона,http://ortodossia.org/,Італія,"Vicolo San Salvatore Vecchio, 9 Verona",45.4440811,10.9945662
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Усіх Святих,Верона,http://ortodossia.org/,Італія,"Chiesa S. Antonio, Via A. Manzoni — San Martino Buon Albergo",45.4267967,11.0821672
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Миколи Чудотворця,Віченца,http://ortodossia.org/,Італія,Via Porta Santa Croce 55,41.8401649,12.8938163
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Преображення Господнього,Генуя,http://ortodossia.org/,Італія,Chiesa alla salita della Seta 3r — Genova,44.4047244,8.9290947
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь Пресвятої Трійці,Домодоссола,http://ortodossia.org/,Італія,"via Paolo Silva 1, Domodossola",46.1157382,8.290740999999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святих рівноап. царів Костянтина та Олени,Імола,http://ortodossia.org/,Італія,"Piazza  della  Conciliazione, 3 – Imola",44.3535437,11.711888
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь преподобного Сави Освяченого,Кальярі,http://ortodossia.org/,Італія,"via del Duomo, 23, Cagliari 09124",39.2179864,9.116547899999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь преподобного Антонія Великого,Канту,http://ortodossia.org/,Італія,via D’Averio 20,45.4598811,9.2005913
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія в ім'я святого Іоанна Кронштадського,Кастровілларі,http://ortodossia.org/,Італія,Palazzo Gallo — Piazza Vittorio Emanuele II — 87012 Castrovillari (CS),39.8102849,16.2051809
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святої мучениці Агафії,Катанія,http://ortodossia.org/,Італія,"Piazza Cavour 1, Catania",37.517202,15.0827298
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь святих апостолів Петра та Павла,Комо,http://ortodossia.org/,Італія,"Via Castelnuovo 1, Como 22100",45.8023049,9.102109
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада в ім'я Успіння Пресвятої Богородиці,Комо,http://ortodossia.org/,Італія,"piazza San Rocco — via Regina Teodolinda, 61  — Como",45.7980402,9.086550599999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь св. великомученика і цілителя Пантелеїмону,Крема,http://ortodossia.org/,Італія,via Civerchi 6 Crema,45.3638312,9.6886335
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія в ім'я Благовіщення Пресвятої Богородиці,Кьярі,http://ortodossia.org/,Італія,"Chiari (BS) via S. Sebastiano, 5",45.5327783,9.928666999999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь святителя Миколи Чудотворця,Лекко,http://ortodossia.org/,Італія,"via Seminario 35, Lecco",45.8640038,9.3946322
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія святої рівноапостольної Марії Магдалини,Леньяно,http://ortodossia.org/,Італія,"via Ponzella 40, Legnano (MI)",45.58703089999999,8.896419999999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь ікони Божої Матері «Скоропослушниця»,Маррубіу,http://ortodossia.org/,Італія,"via Napoli 182, Marrubbiu, Sardegna",39.7518915,8.6406356
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Святих Архангелів Михаїла та Гавриїла,Маргера,http://ortodossia.org/,Італія,"Via della Pila 66, Marghera (VE)",45.4788958,12.2397063
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Миколи Чудотворця,Мерано,http://ortodossia.org/,Італія,"Via Schaffer, 21 39012 Merano (BZ)",46.6651215,11.1682047
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія святителя Амвросія Медіоланського,Мілан,http://ortodossia.org/,Італія,"Largo Corsia dei Servi, 4 – 20122 – Milano",45.4646438,9.196026699999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,"Парафія на честь святих Сергія, Серафима та Вікентія",Мілан,http://ortodossia.org/,Італія,"via Giulini, angolo via Porlezza, Milano",45.4664054,9.1822065
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Усіх святих,Модена,http://ortodossia.org/,Італія,"piazza Liberazione, Quartiere Modena Est, 41100, Modena",44.6409213,10.9662549
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святої Блаженній Ксенії Петербурзької,Реджіо-Емілія,http://ortodossia.org/,Італія,Via Gonzaga 59/A,44.72483369450853,10.619769682226215
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія в ім'я святого апостола Андрія Первозванного,Неаполь,http://ortodossia.org/,Італія,"Via Leopoldo Rodino’, 20, 80138, Napoli",40.8463095,14.2579541
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Миколи Чудотворця,Новара,http://ortodossia.org/,Італія,via C. Magnani Ricotti 25 – 28100 Novara (NO),45.4444958,8.6253843
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Пресвятої Трійці,Новелара,http://ortodossia.org/,Італія,"via Cavour, 10\1 Novellara",44.8492956,10.7317542
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Різдва Пресвятої Богородиці,Падуя,http://ortodossia.org/,Італія,"via SS.Fabiano e Sebastiano, 134 Padova",45.393322,11.8401778
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія св. Олександра Команського,Палермо,http://ortodossia.org/,Італія,"via Sant’Alessandro, 3 Palermo",38.1212458,13.3653271
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Пресвятої Трійці,Пезаро,http://ortodossia.org/,Італія,"chiesa san Giovanni Battista, via Paseri 98 Pesaro",43.9094238,12.9065861
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Різдва Пресвятої Богородиці,Перуджа,http://ortodossia.org/,Італія,"via Monteripido 2, 06125 Perugia,
presso la chiesa di San Matteo degli Armeni",43.1200365,12.3835508
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Різдва Пресвятої Богородиці,Пескара,http://ortodossia.org/,Італія,"Моntesilvano,  via Vestino 9",42.51539289999999,14.1492599
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Спиридона Триміфунтського,Піза,http://ortodossia.org/,Італія,"Piazza San Matteo in Soarta, 1",43.7145118,10.4073446
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Різдва Пресвятої Богородиці,Пістоя,http://ortodossia.org/,Італія,"Via di Ripalta, 251100 Pistoia",43.9366376,10.9135151
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Трьох Святителів,П'яченца,http://ortodossia.org/,Італія,"Chiesa San Eustachio, via del Consiglio 9, Piacenza",45.0519452,9.6996754
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Покрови Пресвятої Богородиці,Равенна,http://ortodossia.org/,Італія,via Candiano 33 angolo piazza d’Armi – Ravenna,44.4166657,12.209912
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія в ім'я святих архангелів Михайла та Гавриїла,Роверето,http://ortodossia.org/,Італія,"Via R. Zotti, 17 Rovereto (TN) 38068",45.8861237,11.0225277
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Громада на честь Собору святих славних та всіхвальних 12-ти Апостолів Христових,Спеція,http://ortodossia.org/,Італія,"via Giovani Bosco, 8-12. Cappella San Domenico Savio",44.1130347,9.8424207
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святих Безсрібників Косми та Даміана,Таранто,http://ortodossia.org/,Італія,"Via Minniti 4, Taranto",40.4678996,17.2507443
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь святителя Миколи Чудотворця,Тревізо,http://ortodossia.org/,Італія,"Chiesa Sant’Agostino, Via S. Agostino 36, 31100 Treviso (TV)",45.66724689999999,12.2497931
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія в ім'я святої блаженної Ксенії Петербурзької,Тренто,http://ortodossia.org/,Італія,"Via R. Zotti 17, 38068  Rovereto (TN)",45.8861237,11.0225277
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,"Парафія в ім'я святителя Максима, єпископа Туринського",Турін,http://ortodossia.org/,Італія,Strada Val San Martino 7 — 10131 Torino,45.0552792,7.723143100000001
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Воскресіння Христового,Турін,http://ortodossia.org/,Італія,Via Monfalcone 20 — 10136 Torino,45.0489522,7.6469683
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Адміністрація парафій МП в Італії,Парафія на честь Воздвиження Хреста Господнього,Удіне,http://ortodossia.org/,Італія,"Chiesa ortodossa, Via Pozzuolo, 330 Udine, 33100",46.03423189999999,13.2222766
