mother,stepdaughter,category_for_map,,name,place,,country,address,Latitude,Longitude
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Святої Трійці,Шарлеруа,https://www.archiepiskopia.be/,Бельгія,"Chaussee de Charleroi 436,
B-6080 Montigny-sur-Sambre",50.40356370000001,4.455312699999999
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Каплиця Благовіщення Пресвятої Богородиці,Турне,https://www.archiepiskopia.be/,Бельгія,"Rue Albert 33,
B-7540 Kain",50.6251796,3.3903474
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Брюсельсько-Бельгійська єпархія,Храм Різдва Пресвятої Богородиці,Кортрейк,https://www.archiepiskopia.be/,Бельгія,"Hoog Mosscher 61-76,
Kortrijk",50.8165337,3.2574395
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Храм св. прав. Йова Багатостраждального,Брюссель,https://orthodox-europe.org,Бельгія,"8, avenue du Manoir, (avenue de Fré)
B–1180 Bruxelles, Belgique",50.8031391,4.3445944
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Церква Воскресіння Христового,Брюссель,https://orthodox-europe.org,Бельгія,"42, rue des Drapiers
B–1050 Bruxelles, Belgique",50.8349716,4.3597907
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),,"Подвор'є РПЦ, Храм Святителя Миколи Чудотворця",Софія,http://podvorie-sofia.bg/,Болгарія,"г. София, 1000, бул. “Царь Освободитель”, № 3.",42.69566349999999,23.3289254
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),,Храм св. вмч. Пантелеймона,Княжево,http://podvorie-sofia.bg/,Болгарія,"г. София, бул. Цар Борис Трети, № 202, в двора на „Дом за възрастни хора с деменция“.",42.66380179999999,23.2554895
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Єпархіальний кафедральний собор Різдва Пресвятої Богородиці та Святих Царських Мучеників,Лондон,https://orthodox-europe.org,Великобританія,"57 Harvard Road, Chiswick
London, W4 4ED",51.4898258,-0.276024
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Парафія Великої Княгині Єлизавети Новомучениці,Ліверпуль,https://orthodox-europe.org,Великобританія,"Rake Lane Cemetery
Rake Lane, Liscard, Wallasey. CH45 5DE",53.4270341,-3.0421126
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Великобританська і Західно-Європейська єпархія РПЦЗ,Парафія і коледж Божої Матері «Всіх скорботних радість»,Меттінгем,https://orthodox-europe.org,Великобританія,"The College of Our Lady of Mettingham
The White House, Mettingham, Suffolk, NR23 1TP",52.456698,1.47076
